Character	Alternate Names		Page	Role	Gender	Friendly															Hostile																	
Chapter 1 -- Pillow Talk																																						
Ailill Mac Mágach				"King of Connacht in Cruachan, a son of Rus Ruad"	M	Medb	Rus Ruad	Finnbennach Ai	Mata Muiresc	Finn 2	Coirpre Niafer	Mac Roth																										
Cimbe				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Drenda	Drendas																													
Cimling				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Cimmene																														
Cimmene				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Cimling																														
Facthna Mac Sencha				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Sencha																														
Sencha				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Facthna Mac Sencha	Senchairthe																													
Senchairthe				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Sencha																														
Briccir				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Bricirne																														
Bricirne				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Briccir																														
Breic				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Buan	Bairech																													
Buan				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Breic	Bairech																													
Bairech				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Breic	Buan																													
Aengus Mac Léte				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Léte	Fergus Mac Léte																													
Fergus Mac Léte				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Léte	Aengus Mac Léte																													
Léte				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Fergus Mac Léte	Aengus Mac Léte																													
Aengus of the Fir Bolg				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Bruchur				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Alamiach																														
Alamiach				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Bruchur																														
Fiachna of Cuailnge				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Conall Cernach				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Connad Mac Morna				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Cúchulainn				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Amargin of Es Ruaid				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Laeg of Léire																														
Laeg of Léire				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Amargin of Es Ruaid																														
Sálchada				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Cúroi Mac Amargin																														
Cúroi Mac Amargin				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Sálchada																														
Aengus Fer Benn Uma				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Ogma Grianainech				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Eo Mac nOircne				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Tollchenn				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Mogol Echbél				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Connla Saeb				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Laegaire Buadach				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Ailill Mac Amargin				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Furbaide Fer Benn				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Cúscraid Menn				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Lí				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Fingin				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Cremath				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Blai Fichit	Blai Briuga																													
Blai Fichit				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Cremath	Blai Briuga																													
Blai Briuga				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Cremath	Blai Fichit																													
Eoghan Mac Durthacht				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Dord				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Seirid	Serthe																													
Seirid				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Dord	Serthe																													
Serthe				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Dord	Seirid																													
Oblan				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Cuirther				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Liana																														
Liana				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Cuirther																														
Fernel				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Finnchad of Sliabh Bethe																														
Finnchad of Sliabh Bethe				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Fernel																														
Talgobain				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Menn Mac Sálchada				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Iroll of Blarigi				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Tibraide Mac Ailcotha				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Iala				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Rus Mac Ailcotha				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Maine Mac Cruim				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Ninnech Mac Cruinn				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Dipsemilid				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Mál Mac Rochrad																														
Mál Mac Rochrad				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Dipsemilid																														
Muinne (Ulster)				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Munremur Mac Gerrcinn																														
Fiatach Ferndoirre				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Dubthach																														
Dubthach				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Fiatach Ferndoirre																														
Muirne Menn				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Erc				Son of Coirpre Niafer and Conchobor's daughter	M	Coirpre Niafer	Conchobor	Fedelm Noichride																														
Coirpre Niafer					M	Erc	Conchobor	Fedelm Noichride																														
Fedelm Noichride					F	Conchobor	Erc	Coirpre Niafer																														
Celtchar					M	Conchobor																																
Cúscraid Menn Macha					M	Conchobor																																
Dubthach	Dubthach Dael				M	Nemain																																
Nemain					F	Dubthach																																
Cormac Connlongas					M	Ailill Mac Mágach																																
Chapter 13 -- The companies advance																																						
Medb					F	Ailill Mac Mágach	Fergus Mac Roich	Mac Roth																														
Ailill Mac Mágach					M	Medb	Fergus Mac Roich	Mac Roth	Conchobor	Sencha Mac Ailella	Cúscraid Menn Macha	Eoghan Mac Durthacht																										
Fergus Mac Roich					M	Medb	Ailill Mac Mágach	Mac Roth	Sencha Mac Ailella	Cúscraid Menn Macha	Eoghan Mac Durthacht	Laegaire	Munremur Mac Gerrcinn	Fedilmid Cilair Chetaig	Connad Mac Morna	Rochad Mac Faithemain	Fergus Mac Léte	Amargin	Celtchar																			
Fergus Mac Roich						Feradach Finn Fechtnach	Errge Echbél	Fiachna Mac Conchoboir	Fiacha Mac Conchoboir	Rus Mac Fiachna	Dáire Mac Fiachna	Imchath Mac Fiachna	Menn Mac Sálchada	Fergna Mac Finnchaime	Furbaide Fer Benn																							
Mac Roth					M	Medb	Ailill Mac Mágach	Fergus Mac Roich	Conall Cernach																													
Conchobor					M	Sencha Mac Ailella	Cúscraid Menn Macha	Eoghan Mac Durthacht	Laegaire	Munremur Mac Gerrcinn	Fedilmid Cilair Chetaig	Connad Mac Morna	Rochad Mac Faithemain	Fergus Mac Léte	Amargin	Celtchar	Feradach Finn Fechtnach	Errge Echbél	Fiachna Mac Conchoboir																			
Conchobor						Fiacha Mac Conchoboir	Rus Mac Fiachna	Dáire Mac Fiachna	Imchath Mac Fiachna	Menn Mac Sálchada	Fergna Mac Finnchaime	Furbaide Fer Benn																										
Sencha Mac Ailella				Fergus describes him as the most eloquent man in Ulster	M	Conchobor	Fergus Mac Roich																															
Cúscraid Menn Macha					M	Conchobor	Fergus Mac Roich																															
Eoghan Mac Durthacht				King of Fernmag	M	Conchobor	Fergus Mac Roich																															
Laegaire					M	Conchobor	Fergus Mac Roich																															
Munremur Mac Gerrcinn					M	Conchobor	Fergus Mac Roich																															
Fedilmid Cilair Chetaig				An Ulster champion	M	Conchobor	Fergus Mac Roich																															
Connad Mac Morna				An Ulster champion	M	Conchobor	Fergus Mac Roich																															
Rochad Mac Faithemain					M	Conchobor	Fergus Mac Roich																															
Fergus Mac Léte				"King of Líne, foster-brother of Fergus Mac Roich"	M	Conchobor	Fergus Mac Roich																															
Amargin				"Son of the smith of Ecet Salach, the grimy one, from Buais"	M	Conchobor	Ecet Salach	Fergus Mac Roich																														
Ecet Salach						Amargin																																
Celtchar					M	Conchobor	Fergus Mac Roich																															
Feradach Finn Fechtnach				From the wood at Sliab Fuait. Fergus describes him as fair and righteous	M	Conchobor	Fergus Mac Roich																															
Errge Echbél				From Brí Errgi	M	Conchobor	Fergus Mac Roich																															
Fiachna Mac Conchoboir	Fiachna 1				M	Conchobor	Fiacha Mac Conchoboir		Fergus Mac Roich																													
Fiacha Mac Conchoboir					M	Conchobor	Fiachna Mac Conchoboir		Fergus Mac Roich																													
Rus Mac Fiachna				One of the three sons of Fiachna	M	Conchobor	Dáire Mac Fiachna	Imchath Mac Fiachna		Fergus Mac Roich																												
Dáire Mac Fiachna				One of the three sons of Fiachna	M	Conchobor	Rus Mac Fiachna	Imchath Mac Fiachna		Fergus Mac Roich																												
Imchath Mac Fiachna				One of the three sons of Fiachna	M	Conchobor	Rus Mac Fiachna	Dáire Mac Fiachna		Fergus Mac Roich																												
Menn Mac Sálchada				From Corann	M	Conchobor	Fergus Mac Roich																															
Fergna Mac Finnchaime				From Corann	M	Conchobor	Fergus Mac Roich																															
Furbaide Fer Benn				The horned man	M	Conchobor	Fergus Mac Roich																															
Conall Cernach					M	Conchobor																																
Chapter 14 -- The Last Battle																																						
Conchobor					M			Cormac Connlongas	Fachtna	Laegaire											Ailill Mac Mágach	Fergus Mac Roich																
Ailill Mac Mágach					M		Traigthrén 2	Cúchulainn	Medb	Fergus Mac Roich											Conchobor																	
Morrígan					F																																	
Nét					M	Nemain	Badb																															
Nemain					F	Nét	Badb																															
Badb					F	Nét	Nemain																															
Traigthrén 2					M	Ailill Mac Mágach																																
Cúchulainn					M	Laeg	Fergus Mac Roich	Sualdam	Medb	Ailill Mac Mágach	Finnabair	Amargin									Medb																	
Laeg					M	Cúchulainn	Fergus Mac Roich	Conchobor	Amargin	Conall Cernach	En																											
Fachtna					M	Conchobor																																
Laegaire					M	Conchobor																																
Amargin						Cúchulainn	Laeg																															
Conall Cernach					M	En	Conchobor	Cúchulainn	Laeg												Fergus Mac Roich																	
En				Conall Cernach's charioteer	M	Conall Cernach	Cúchulainn	Laeg																														
Medb					F	Ailill Mac Mágach		Fergus Mac Roich	Cúchulainn												Conchobor	Cúchulainn																
Fergus Mac Roich					M	Medb	Ailill Mac Mágach			Cormac Connlongas	Donn Cuailnge	Finnbennach Ai									Conall Cernach	Conchobor																
Cormac Connlongas					M	Fergus Mac Roich	Conchobor																															
Donn Cuailnge					M		Fergus Mac Roich														Finnbennach Ai	Bricriu																
Finnbennach Ai					M	Fergus Mac Roich															Donn Cuailnge	Bricriu																
Bricriu				The men of Ireland agreed Bricriu should judge the two bulls fighting as he favoured his friend no more than his enemy. He was trampled to death as they fought.	M																																	
Finnabair				Went back with Cúchulainn after the Táin (though she died of shame earlier)	F	Cúchulainn															Donn Cuailnge	Finnbennach Ai																
Coirpre from Sliab Mis					M	Ailill Mac Mágach	Traigthrén 2																															
Les in Luachair					M	Ailill Mac Mágach	Traigthrén 2																															
Meid from Corpthe Loste					M	Ailill Mac Mágach	Traigthrén 2																															
Buidir from the river Buas					M	Ailill Mac Mágach	Traigthrén 2																															
Badb from the river Buaidnech					M	Ailill Mac Mágach	Traigthrén 2																															
Buaideltach from the river Berba					M	Ailill Mac Mágach	Traigthrén 2																															
Muredach from Marga					M	Ailill Mac Mágach	Traigthrén 2																															
Laegaire from Lec Derg					M	Ailill Mac Mágach	Traigthrén 2																															
Suibne from the river Siuir					M	Ailill Mac Mágach	Traigthrén 2																															
Echtach from Ane					M	Ailill Mac Mágach	Traigthrén 2																															
Dael from Eirc					M	Ailill Mac Mágach	Traigthrén 2																															
Damach from Derg Derc					M	Ailill Mac Mágach	Traigthrén 2																															
Bratruad from Loch Rí					M	Ailill Mac Mágach	Traigthrén 2																															
Nelleth from Loch Eirne					M	Ailill Mac Mágach	Traigthrén 2																															
Bresal from Bodg					M	Ailill Mac Mágach	Traigthrén 2																															
Amalgad from Ai					M	Ailill Mac Mágach	Traigthrén 2																															
Fiachra from Nemain Wood					M	Ailill Mac Mágach	Traigthrén 2																															
Nechta from Muiresc Plain					M	Ailill Mac Mágach	Traigthrén 2																															
Ruirech from Aigle					M	Ailill Mac Mágach	Traigthrén 2																															
Bruchurs from the river Febrad					M	Ailill Mac Mágach	Traigthrén 2																															
Conall from Collamair					M	Ailill Mac Mágach	Traigthrén 2																															
Féic from Finnabair					M	Ailill Mac Mágach	Traigthrén 2																															
Coirpre from Cliu					M	Ailill Mac Mágach	Traigthrén 2																															
Maine Milscothach					M	Ailill Mac Mágach	Traigthrén 2																															
Descertach from Drompa					M	Ailill Mac Mágach	Traigthrén 2																															
Fintan from Femen Plain					M	Ailill Mac Mágach	Traigthrén 2																															
Rathach from Raigne Plain					M	Ailill Mac Mágach	Traigthrén 2																															
Eterscél from Eterbán					M	Ailill Mac Mágach	Traigthrén 2																															
Guaire from Gabail					M	Ailill Mac Mágach	Traigthrén 2																															
Aed from Aidne					M	Ailill Mac Mágach	Traigthrén 2																															
Ailill Mac Mágach					M	Coirpre from Sliab Mis	Les in Luachair	Meid from Corpthe Loste	Buidir from the river Buas	Badb from the river Buaidnech	Buaideltach from the river Berba	Muredach from Marga	Laegaire from Lec Derg	Suibne from the river Siuir	Echtach from Ane	Dael from Eirc	Damach from Derg Derc	Bratruad from Loch Rí	Nelleth from Loch Eirne	Bresal from Bodg	Amalgad from Ai	Fiachra from Nemain Wood	Nechta from Muiresc Plain	Ruirech from Aigle	Bruchurs from the river Febrad	Conall from Collamair	Féic from Finnabair	Coirpre from Cliu	Maine Milscothach	Descertach from Drompa	Fintan from Femen Plain	Rathach from Raigne Plain	Eterscél from Eterbán	Guaire from Gabail	Aed from Aidne			
Traigthrén 2					M	Coirpre from Sliab Mis	Les in Luachair	Meid from Corpthe Loste	Buidir from the river Buas	Badb from the river Buaidnech	Buaideltach from the river Berba	Muredach from Marga	Laegaire from Lec Derg	Suibne from the river Siuir	Echtach from Ane	Dael from Eirc	Damach from Derg Derc	Bratruad from Loch Rí	Nelleth from Loch Eirne	Bresal from Bodg	Amalgad from Ai	Fiachra from Nemain Wood	Nechta from Muiresc Plain	Ruirech from Aigle	Bruchurs from the river Febrad	Conall from Collamair	Féic from Finnabair	Coirpre from Cliu	Maine Milscothach	Descertach from Drompa	Fintan from Femen Plain	Rathach from Raigne Plain	Eterscél from Eterbán	Guaire from Gabail	Aed from Aidne			
